2001-11-12	1.554
2001-11-13	1.493
2001-11-14	1.456
2001-11-15	1.487
2001-11-16	1.401
2001-11-17	1.453
2001-11-18	1.414
2001-11-19	1.354
2001-11-20	1.337
2001-11-21	1.297
2001-11-22	1.29
2001-11-23	1.186
2001-11-24	1.099
2001-11-25	1.103
2001-11-26	1.127
2001-11-27	1.103
2001-11-28	1.086
2001-11-29	1.09
2001-11-30	1.115
2001-12-01	1.119
2001-12-02	1.118
2001-12-03	1.076
2001-12-04	1.074
2001-12-05	1.077
2001-12-06	1.076
2001-12-07	1.027
2001-12-08	0.992
2001-12-09	0.967
2001-12-10	0.97
2001-12-11	1.02
2001-12-12	1.028
2001-12-13	1
2001-12-14	0.984
2001-12-15	0.979
2001-12-16	0.952
2001-12-17	0.931
2001-12-18	0.919
2001-12-19	0.927
2001-12-20	0.871
2001-12-21	0.852
2001-12-22	0.832
2001-12-23	0.813
2001-12-24	0.798
2001-12-25	0.794
2001-12-26	0.775
2001-12-27	0.755
2001-12-28	0.732
2001-12-29	0.711
2001-12-30	0.701
2001-12-31	0.69
2002-01-01	0.677
2002-01-02	0.68
2002-01-03	0.673
2002-01-04	0.67
2002-01-05	0.663
2002-01-06	0.654
2002-01-07	0.661
2002-01-08	0.652
2002-01-09	0.633
2002-01-10	0.644
2002-01-11	0.637
2002-01-12	0.633
2002-01-13	0.626
2002-01-14	0.619
2002-01-15	0.617
2002-01-16	0.615
2002-01-17	0.611
2002-01-18	0.614
2002-01-19	0.604
2002-01-20	0.593
2002-01-21	0.589
2002-01-22	0.587
2002-01-23	0.583
2002-01-24	0.567
2002-01-25	0.551
2002-01-26	0.538
2002-01-27	0.537
2002-01-28	0.527
2002-01-29	0.526
2002-01-30	0.511
2002-01-31	0.523
2002-02-01	0.518
2002-02-02	0.523
2002-02-03	0.522
2002-02-04	0.532
2002-02-05	0.571
2002-02-06	0.567
2002-02-07	0.554
2002-02-08	0.549
2002-02-09	0.548
2002-02-10	0.546
2002-02-11	0.539
2002-02-12	0.543
2002-02-13	0.537
2002-02-14	0.517
2002-02-15	0.501
2002-02-16	0.499
2002-02-17	0.502
2002-02-18	0.5
2002-02-19	0.497
2002-02-20	0.488
2002-02-21	0.475
2002-02-22	0.476
2002-02-23	0.477
2002-02-24	0.474
2002-02-25	0.457
2002-02-26	0.459
2002-02-27	0.456
2002-02-28	0.448
2002-03-01	0.449
2002-03-02	0.443
2002-03-03	0.437
2002-03-04	0.432
2002-03-05	0.431
2002-03-06	0.435
2002-03-07	0.433
2002-03-08	0.426
2002-03-09	0.432
2002-03-10	0.428
2002-03-11	0.427
2002-03-12	0.424
2002-03-13	0.424
2002-03-14	0.407
2002-03-15	0.394
2002-03-16	0.39
2002-03-17	0.385
2002-03-18	0.384
2002-03-19	0.391
2002-03-20	0.392
2002-03-21	0.382
2002-03-22	0.38
2002-03-23	0.381
2002-03-24	0.375
2002-03-25	0.369
2002-03-26	0.372
2002-03-27	0.368
2002-03-28	0.369
